"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","339","1400 Independence Avenue Southwest, Southwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",815,585,1134
"285","Union Station Drive Northeast, Northeast Washington, Washington","340","100 7th Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",656,461,932
"285","Union Station Drive Northeast, Northeast Washington, Washington","341","100 7th Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",648,501,837
"285","Union Station Drive Northeast, Northeast Washington, Washington","342","1200 Madison Drive Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",738,567,959
"285","Union Station Drive Northeast, Northeast Washington, Washington","343","900 Jefferson Drive Southwest, Southwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",691,495,962
"285","Union Station Drive Northeast, Northeast Washington, Washington","344","4th Street Southwest, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",473,330,677
"285","Union Station Drive Northeast, Northeast Washington, Washington","345","First Street Southwest, Southwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",459,264,797
"285","Union Station Drive Northeast, Northeast Washington, Washington","346","1200 East Capitol Street Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",625,470,830
"285","Union Station Drive Northeast, Northeast Washington, Washington","347","200 East Capitol Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",330,214,507
"285","Union Station Drive Northeast, Northeast Washington, Washington","348","0 7th Street Southeast, Capitol Hill, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",423,277,644
"285","Union Station Drive Northeast, Northeast Washington, Washington","349","Anacostia Riverwalk Trail, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",938,714,1232
"285","Union Station Drive Northeast, Northeast Washington, Washington","350","Fort Dupont Drive Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1057,790,1413
"285","Union Station Drive Northeast, Northeast Washington, Washington","351","4300 Texas Avenue Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1105,852,1432
"285","Union Station Drive Northeast, Northeast Washington, Washington","352","100 19th Street Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",813,638,1035
"285","Union Station Drive Northeast, Northeast Washington, Washington","353","4400 C Street Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1148,917,1436
